                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3616,                0.84746,                 1.0894,                0.72176,                0.73289,                0.77635,                0.44348,                 1.4847,                0.97023,                  1.105,             0.00055222,             0.00055222,             0.00055222
                      2,                 1.4185,                0.90684,                 1.0947,                0.74556,                0.66482,                0.75711,                0.41033,                  1.594,                 1.0298,                 1.1422,              0.0010859,              0.0010859,              0.0010859
                      3,                 1.4517,                0.92354,                 1.1085,                0.72435,                0.62326,                0.72649,                0.38343,                   1.61,                 1.0671,                 1.1471,              0.0015977,              0.0015977,              0.0015977
                      4,                  1.475,                0.93449,                 1.1304,                0.73567,                0.65573,                0.74532,                0.41211,                 1.5521,                 1.0405,                 1.1335,               0.001568,               0.001568,               0.001568
                      5,                 1.4893,                 0.9446,                 1.1245,                0.76888,                0.67683,                0.76763,                0.40829,                 1.5753,                 1.0205,                 1.1367,               0.001568,               0.001568,               0.001568
                      6,                 1.4727,                0.93872,                 1.1158,                0.75901,                0.66918,                0.74806,                0.39487,                 1.6191,                 1.0264,                 1.1523,               0.001535,               0.001535,               0.001535
                      7,                 1.4314,                0.89636,                 1.1135,                0.70672,                 0.6597,                 0.7223,                0.40378,                 1.5476,                 1.0557,                 1.1226,               0.001502,               0.001502,               0.001502
                      8,                 1.4675,                0.93527,                 1.1088,                0.71322,                0.58181,                0.67242,                0.36255,                 1.6496,                 1.1328,                 1.1678,               0.001469,               0.001469,               0.001469
                      9,                 1.4462,                0.92606,                 1.1118,                0.76375,                 0.7024,                0.75199,                0.40161,                 1.5824,                  1.048,                 1.1381,               0.001436,               0.001436,               0.001436
                     10,                 1.4345,                0.91071,                 1.0983,                0.79482,                0.66011,                 0.7559,                0.43027,                 1.4908,                 1.0072,                 1.1066,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.4314,                0.91312,                 1.0936,                0.78427,                0.65268,                0.75636,                0.42815,                 1.5186,                 1.0005,                 1.1267,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.4271,                0.89413,                 1.1131,                0.71972,                0.71312,                 0.7514,                0.43044,                 1.4945,                0.99016,                 1.1244,              0.0013369,              0.0013369,              0.0013369
