                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3006,                 3.3714,                  3.529,                0.00577,                0.11825,                0.00649,                0.00155,                 6.2847,                 4.1209,                 3.5822,             0.00054881,             0.00054881,             0.00054881
                      2,                 3.3538,                 2.1302,                 2.1131,                0.03816,                0.10498,                0.01675,                0.00421,                 3.6711,                 2.9055,                 2.3414,              0.0010935,              0.0010935,              0.0010935
                      3,                 3.0335,                 1.9862,                 1.9226,                0.01031,                0.19648,                0.01173,                0.00321,                 3.5565,                 5.5121,                 2.1466,              0.0016273,              0.0016273,              0.0016273
                      4,                 2.8259,                 1.9123,                 1.7874,                0.54988,                0.14724,                0.06156,                 0.0167,                 2.9051,                 3.1224,                 1.7854,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.6469,                  1.855,                 1.6711,                0.18212,                0.22481,                0.10755,                0.03347,                 2.7343,                 2.3552,                 1.7007,              0.0016175,              0.0016175,              0.0016175
                      6,                  2.509,                 1.7916,                 1.5975,                0.17425,                0.24303,                0.10992,                0.02721,                 2.9885,                 2.1304,                  1.807,               0.001601,               0.001601,               0.001601
                      7,                 2.3729,                 1.7228,                 1.5338,                0.29482,                0.35183,                0.23069,                0.07788,                 2.4437,                 1.9741,                 1.5064,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.2811,                  1.678,                 1.4779,                  0.258,                0.30975,                0.22254,                0.07816,                 2.3987,                 1.9076,                 1.5082,               0.001568,               0.001568,               0.001568
                      9,                  2.218,                 1.6367,                 1.4578,                0.23639,                0.45673,                0.24522,                0.08917,                 2.3409,                 1.9658,                 1.4871,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.1639,                 1.6188,                 1.4189,                0.33378,                0.37854,                0.28732,                0.10654,                 2.2924,                 1.8618,                 1.4368,               0.001535,               0.001535,               0.001535
                     11,                 2.1228,                 1.5753,                 1.3961,                 0.3987,                0.40411,                0.35211,                0.13785,                 2.1494,                 1.7079,                 1.3899,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.0768,                 1.5418,                 1.3887,                0.40251,                0.44608,                0.36691,                0.15018,                 2.1838,                 1.6578,                 1.3989,               0.001502,               0.001502,               0.001502
                     13,                 2.0481,                 1.4973,                 1.3659,                0.46632,                0.44535,                0.42054,                 0.1788,                 2.1119,                 1.6285,                 1.3512,              0.0014855,              0.0014855,              0.0014855
                     14,                  2.028,                 1.4705,                 1.3591,                0.44867,                0.42984,                0.41191,                0.18511,                 2.0177,                 1.6212,                 1.3391,               0.001469,               0.001469,               0.001469
                     15,                 1.9835,                 1.4359,                 1.3498,                0.45336,                0.38526,                0.38841,                0.15081,                 2.2665,                 1.6536,                 1.4085,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.9824,                 1.4104,                 1.3291,                0.55272,                0.40103,                0.42767,                0.18191,                 2.0383,                 1.6204,                 1.3292,               0.001436,               0.001436,               0.001436
                     17,                 1.9312,                 1.3857,                 1.3033,                0.49744,                0.41411,                0.44229,                0.17746,                 2.1342,                 1.5292,                 1.3682,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.9244,                 1.3598,                 1.3089,                0.54059,                0.51818,                0.51626,                0.23203,                  1.944,                  1.505,                  1.289,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.9003,                 1.3404,                 1.2951,                0.48895,                0.44858,                0.46436,                0.21487,                  1.976,                 1.4845,                  1.306,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.8859,                 1.3263,                 1.2931,                0.55757,                0.48519,                0.49752,                0.20888,                 2.0482,                 1.4524,                 1.3163,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.8554,                 1.3054,                 1.2698,                0.53212,                0.44921,                0.46121,                0.19177,                 2.0805,                 1.4963,                 1.3134,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.8657,                 1.2888,                 1.2802,                0.55119,                0.48896,                0.49318,                0.22088,                 1.9614,                 1.4531,                 1.2849,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.8285,                 1.2787,                 1.2652,                0.59756,                0.51972,                0.55047,                0.27383,                  1.812,                 1.4905,                 1.2464,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.8228,                 1.2491,                 1.2597,                0.57068,                0.48092,                0.49807,                0.21315,                 2.0461,                 1.4199,                 1.3112,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.8024,                 1.2527,                 1.2523,                 0.5194,                0.45935,                0.47645,                0.21736,                 1.9521,                 1.4486,                 1.2757,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.7627,                 1.2227,                  1.243,                0.56284,                0.44561,                0.48311,                0.22544,                 1.8877,                  1.456,                 1.2447,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.7747,                 1.2366,                 1.2411,                0.62665,                0.52526,                0.56718,                0.28449,                  1.793,                 1.3211,                 1.2224,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.7665,                 1.2051,                 1.2372,                 0.6348,                0.54473,                0.58728,                0.28946,                 1.7748,                 1.3292,                  1.228,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.7332,                  1.177,                 1.2292,                0.63883,                0.54985,                0.58888,                0.28762,                 1.7855,                 1.3074,                 1.2198,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.7554,                 1.1791,                 1.2316,                0.58929,                0.50894,                0.54071,                0.25192,                 1.8623,                 1.3612,                 1.2433,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.7036,                 1.1511,                 1.2097,                0.63807,                0.55737,                0.60816,                0.29188,                  1.793,                 1.2961,                 1.2203,              0.0011884,              0.0011884,              0.0011884
