                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6667,                 1.1631,                 1.1434,                0.73457,                0.71956,                0.77655,                0.44034,                 1.5136,                 0.9696,                 1.1238,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.6317,                 1.1284,                 1.1382,                0.72194,                0.69957,                0.76741,                0.43198,                 1.5217,                0.98995,                  1.115,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.6254,                 1.1248,                 1.1398,                0.72059,                0.71033,                0.76323,                0.43449,                 1.4903,                0.98682,                 1.1086,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.6261,                 1.1345,                 1.1371,                0.76098,                0.69233,                0.78044,                0.44741,                 1.4925,                0.96322,                 1.1078,             0.00047876,             0.00047876,             0.00047876
                     39,                  1.614,                 1.1385,                 1.1313,                0.76584,                0.71351,                0.78136,                0.44535,                 1.4941,                0.94307,                 1.1115,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.6276,                 1.1371,                 1.1324,                0.71784,                 0.7256,                0.77415,                0.43601,                 1.5072,                0.98679,                   1.11,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.4202,                0.95187,                 1.1192,                0.72039,                0.70996,                0.76947,                0.43554,                 1.5077,                0.98265,                 1.1088,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.4158,                0.90515,                 1.0981,                0.72732,                0.72308,                0.77938,                0.44318,                 1.5003,                0.98007,                 1.1075,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.4037,                0.89792,                 1.1031,                 0.7623,                0.70047,                0.78185,                0.44847,                 1.4801,                0.95583,                 1.0981,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.3984,                0.89857,                 1.1008,                0.76541,                0.72247,                  0.791,                 0.4551,                 1.4865,                0.94326,                 1.0999,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.3898,                0.86748,                 1.0883,                 0.7464,                0.73494,                0.78663,                0.45396,                 1.4782,                0.94431,                 1.0993,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3645,                0.87399,                 1.0828,                0.76151,                0.72746,                0.78825,                0.45154,                 1.4756,                0.94557,                 1.0972,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3722,                 0.8575,                 1.0851,                0.76057,                0.73249,                0.78748,                0.46008,                 1.4666,                0.93096,                 1.0972,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.3644,                0.84692,                 1.0885,                0.75033,                0.73831,                0.78691,                0.46001,                 1.4628,                 0.9392,                 1.0937,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3557,                0.84122,                 1.0786,                 0.7537,                0.73037,                 0.7908,                0.45868,                 1.4735,                 0.9366,                 1.0962,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.3527,                0.83749,                 1.0779,                0.74985,                0.73199,                0.79294,                0.46337,                 1.4618,                0.92735,                 1.0924,             8.2683e-05,             8.2683e-05,             8.2683e-05
