                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3006,                 3.3714,                  3.529,                0.00577,                0.11825,                0.00649,                0.00155,                 6.2847,                 4.1209,                 3.5822,             0.00054881,             0.00054881,             0.00054881
                      2,                 3.3559,                 2.1062,                 2.1357,                0.05318,                0.09588,                0.02371,                0.00667,                 3.3937,                 2.9114,                  2.155,              0.0010826,              0.0010826,              0.0010826
                      3,                 3.0419,                 1.9985,                 1.9311,                0.04182,                0.17264,                0.02234,                0.00559,                 3.9714,                 2.5152,                 2.3976,              0.0015944,              0.0015944,              0.0015944
                      4,                 2.8258,                 1.9247,                 1.7971,                0.08878,                0.14708,                0.04656,                0.01314,                 2.9291,                 2.5495,                 1.8204,               0.001568,               0.001568,               0.001568
                      5,                 2.6656,                 1.8561,                 1.6946,                0.60651,                0.13367,                0.11451,                0.03357,                 2.6846,                 2.5412,                  1.691,               0.001568,               0.001568,               0.001568
                      6,                 2.5667,                 1.8164,                 1.6242,                0.20143,                0.16914,                0.09043,                0.02499,                 2.9106,                 2.2836,                 1.8393,               0.001535,               0.001535,               0.001535
                      7,                 2.4176,                 1.7619,                 1.5529,                0.24129,                0.30723,                0.20506,                0.07343,                 2.4109,                 2.0107,                 1.5143,               0.001502,               0.001502,               0.001502
                      8,                  2.352,                 1.7131,                 1.5017,                0.33652,                0.34159,                0.26378,                0.09702,                 2.3622,                 1.8735,                 1.4752,               0.001469,               0.001469,               0.001469
                      9,                 2.2663,                  1.671,                 1.4733,                0.41114,                0.35033,                0.23999,                 0.0931,                  2.347,                 2.0147,                 1.4893,               0.001436,               0.001436,               0.001436
                     10,                 2.2003,                 1.6396,                 1.4342,                0.32178,                0.33051,                0.23206,                 0.0771,                 2.4098,                 1.9948,                 1.4891,              0.0014029,              0.0014029,              0.0014029
                     11,                 2.1609,                 1.6203,                 1.4172,                0.40759,                0.39492,                0.31839,                0.12251,                 2.1757,                 1.8983,                 1.4237,              0.0013699,              0.0013699,              0.0013699
                     12,                 2.1034,                 1.5876,                 1.4022,                0.35104,                0.44734,                0.33476,                0.13151,                 2.2398,                 1.7792,                 1.4208,              0.0013369,              0.0013369,              0.0013369
                     13,                 2.0805,                 1.5557,                 1.3777,                0.42925,                0.46903,                0.39333,                0.16212,                 2.1302,                  1.713,                 1.3946,              0.0013039,              0.0013039,              0.0013039
                     14,                 2.0195,                  1.503,                  1.359,                0.40415,                0.41055,                0.36898,                0.14027,                 2.2321,                 1.6447,                 1.4356,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.9951,                 1.4695,                 1.3585,                0.41967,                0.44729,                0.40505,                0.15671,                 2.2702,                 1.6854,                 1.4174,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.9934,                 1.4409,                 1.3329,                0.50498,                 0.4355,                0.43134,                0.19404,                 2.0105,                 1.6154,                   1.34,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.9484,                 1.4089,                 1.3168,                0.55791,                0.46506,                0.48494,                0.21423,                 2.0089,                 1.4713,                 1.3396,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.9322,                 1.3887,                 1.3138,                0.55861,                0.49157,                0.50185,                0.22791,                 1.9371,                 1.5986,                 1.3062,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.9157,                 1.3521,                 1.3057,                0.56493,                0.46908,                0.48964,                0.22888,                 1.9453,                 1.4799,                 1.2999,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.8739,                 1.3414,                 1.2931,                0.55683,                0.46176,                0.50035,                0.21972,                 1.9474,                 1.4398,                 1.2942,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.8715,                 1.3237,                 1.2832,                0.57272,                0.47007,                0.50065,                0.21806,                 2.0478,                 1.4812,                 1.3144,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.8691,                 1.3037,                 1.2836,                0.54026,                0.52901,                0.52749,                0.24358,                 1.9047,                 1.4096,                 1.2776,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.8222,                 1.2906,                 1.2654,                0.50777,                0.58169,                0.54626,                0.25137,                 1.8982,                 1.4493,                 1.2792,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.8044,                 1.2503,                 1.2519,                0.61731,                0.49137,                0.54112,                 0.2503,                 1.9097,                  1.353,                 1.2697,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.8325,                 1.2679,                 1.2616,                0.62898,                0.56059,                0.57567,                0.27974,                  1.822,                 1.3172,                 1.2603,             0.00090785,             0.00090785,             0.00090785
