                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5215,                 3.7085,                 3.3494,                0.00937,                0.20346,                0.00756,                 0.0019,                 3.7695,                 3.2341,                 2.4002,             0.00055222,             0.00055222,             0.00055222
                      2,                 4.0391,                 2.7873,                 2.2329,                 0.0092,                0.09187,                0.00653,                 0.0017,                 3.7195,                 5.6973,                 2.2928,              0.0010969,              0.0010969,              0.0010969
                      3,                 3.6725,                 2.3944,                 1.9286,                0.50997,                0.11247,                0.01223,                0.00304,                 3.6814,                 2.8989,                 2.1936,              0.0016306,              0.0016306,              0.0016306
                      4,                 3.3045,                 2.2272,                 1.7531,                 0.0744,                0.18915,                0.06472,                0.01724,                 3.1681,                 2.3075,                 1.9125,              0.0016175,              0.0016175,              0.0016175
                      5,                 3.0375,                 2.0934,                 1.6326,                0.08048,                0.21879,                0.06885,                0.01876,                 3.0035,                 2.2073,                  1.842,              0.0016175,              0.0016175,              0.0016175
                      6,                 2.8098,                 1.9823,                 1.5277,                0.62298,                0.16769,                0.12981,                0.04272,                 2.7638,                 2.1069,                 1.6748,               0.001601,               0.001601,               0.001601
                      7,                  2.678,                 1.9212,                 1.4908,                0.16422,                0.31263,                0.13918,                 0.0459,                 2.7046,                 2.0945,                 1.6576,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.5743,                 1.8823,                 1.4365,                0.22916,                0.43217,                0.21219,                0.06933,                 2.5094,                 2.0183,                 1.5621,               0.001568,               0.001568,               0.001568
                      9,                 2.5474,                  1.895,                 1.4368,                0.28847,                 0.3398,                0.21992,                0.07764,                 2.4395,                 1.9409,                 1.5261,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.4949,                 1.8512,                 1.4102,                0.24179,                0.44702,                0.24712,                0.08574,                  2.475,                 1.9145,                 1.5372,               0.001535,               0.001535,               0.001535
                     11,                 2.4165,                 1.8214,                 1.3841,                0.26554,                0.28439,                0.16695,                0.05591,                 2.7068,                  1.901,                 1.7114,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.3746,                 1.7862,                 1.3691,                0.26634,                0.29909,                0.18815,                0.07185,                 2.3304,                 1.8563,                 1.5033,               0.001502,               0.001502,               0.001502
                     13,                 2.3488,                 1.7797,                  1.366,                0.27924,                0.43897,                 0.2539,                0.09377,                 2.4051,                 1.9137,                 1.5392,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.3256,                 1.7574,                 1.3504,                0.25969,                 0.4168,                0.26971,                0.10087,                 2.1873,                 1.8095,                  1.414,               0.001469,               0.001469,               0.001469
                     15,                 2.2556,                 1.7152,                 1.3389,                0.35177,                0.46646,                0.33444,                0.13215,                 2.1205,                 1.6692,                 1.3957,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.2294,                  1.704,                 1.3332,                0.35979,                0.40316,                0.30114,                0.11511,                 2.1352,                 1.7374,                 1.3926,               0.001436,               0.001436,               0.001436
                     17,                 2.2283,                  1.708,                 1.3384,                0.31266,                0.35879,                  0.273,                 0.1045,                 2.2388,                 1.7495,                 1.4559,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.2089,                 1.6994,                 1.3175,                 0.4317,                0.45896,                0.35251,                0.14952,                  2.078,                 1.6184,                 1.3534,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.1568,                 1.6791,                 1.3036,                0.33854,                0.43902,                0.28994,                0.11441,                 2.1197,                 1.7573,                 1.4043,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.1457,                 1.6448,                 1.2953,                0.38757,                0.46122,                 0.3549,                0.14488,                 2.0986,                 1.6123,                 1.3838,              0.0013699,              0.0013699,              0.0013699
                     21,                  2.147,                 1.6311,                 1.2859,                0.43377,                0.46208,                0.39988,                0.16685,                 2.0801,                 1.5569,                 1.3497,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.1326,                  1.612,                 1.2938,                 0.4659,                0.49549,                 0.4447,                0.18429,                  2.087,                 1.5847,                 1.3549,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.1233,                    1.6,                 1.2896,                0.53513,                0.46365,                0.46546,                0.19652,                 2.0319,                 1.5124,                 1.3397,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.0999,                 1.5875,                 1.2828,                0.51304,                0.46096,                0.44799,                0.19527,                 2.0163,                 1.4952,                 1.3407,              0.0013039,              0.0013039,              0.0013039
                     25,                  2.051,                 1.5579,                 1.2709,                0.48337,                0.50929,                0.46907,                0.21225,                 1.9951,                  1.439,                 1.3344,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.0375,                 1.5407,                 1.2669,                0.50264,                0.46437,                0.46936,                0.20794,                 2.0004,                 1.5125,                 1.3102,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.0565,                 1.5437,                 1.2583,                0.51886,                0.47653,                0.46318,                 0.2106,                 1.9219,                 1.5016,                 1.2878,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.0466,                  1.544,                 1.2574,                0.54517,                0.51889,                0.50947,                0.23874,                 1.9437,                  1.445,                 1.2896,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.0437,                 1.5167,                 1.2649,                0.57541,                0.49372,                0.53113,                 0.2531,                 1.8896,                 1.4015,                 1.2766,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.0057,                 1.5053,                 1.2607,                0.60354,                0.51401,                0.55126,                0.26039,                 1.8756,                 1.3813,                  1.273,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.9794,                 1.5108,                 1.2406,                0.62011,                0.46509,                0.53135,                0.25563,                 1.9076,                 1.4219,                  1.278,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.9995,                 1.4869,                 1.2526,                0.57844,                0.58493,                0.57564,                0.27308,                 1.8529,                 1.3531,                 1.2618,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.9619,                 1.4813,                 1.2393,                0.59352,                0.53899,                0.55766,                 0.2632,                 1.8639,                 1.3555,                 1.2719,              0.0011554,              0.0011554,              0.0011554
                     34,                  1.962,                  1.466,                 1.2397,                 0.5789,                0.53632,                0.57272,                  0.278,                 1.8163,                 1.3467,                 1.2388,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.9726,                 1.4568,                 1.2363,                0.63221,                 0.5577,                0.60256,                0.29327,                 1.8221,                 1.3009,                 1.2438,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.9253,                 1.4119,                  1.224,                 0.6373,                0.52129,                0.59487,                0.29447,                  1.793,                 1.3317,                 1.2326,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.9133,                  1.422,                  1.229,                 0.6459,                0.52657,                0.58249,                0.27731,                 1.8172,                 1.3366,                 1.2467,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.9088,                 1.4238,                  1.223,                0.63535,                0.57292,                0.60907,                0.30256,                 1.8031,                 1.3004,                 1.2357,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.9118,                 1.4016,                 1.2239,                0.65171,                0.59454,                0.63302,                0.30858,                 1.7739,                 1.2838,                 1.2209,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.9132,                 1.3964,                 1.2161,                0.60043,                0.56474,                0.60287,                0.29413,                 1.8119,                 1.3277,                 1.2314,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.8869,                 1.3911,                 1.2106,                0.63105,                0.58818,                0.62669,                0.31463,                 1.8133,                 1.2445,                 1.2405,              0.0010234,              0.0010234,              0.0010234
                     42,                  1.872,                 1.3892,                 1.2037,                0.63731,                0.56098,                0.61831,                0.30893,                 1.8061,                 1.2631,                 1.2363,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.8705,                 1.3757,                 1.2058,                0.64058,                0.58028,                0.63644,                0.32427,                 1.7695,                 1.2393,                 1.2296,             0.00099036,             0.00099036,             0.00099036
                     44,                   1.87,                 1.3687,                 1.2093,                0.62665,                0.60223,                0.62111,                0.31373,                 1.7494,                 1.2527,                   1.22,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.8189,                 1.3661,                 1.2018,                0.64849,                0.63401,                 0.6612,                0.33375,                  1.724,                 1.2288,                 1.2071,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.8338,                 1.3555,                 1.1997,                0.70072,                0.62673,                0.67284,                0.34203,                 1.7631,                  1.203,                 1.2133,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.8128,                 1.3563,                 1.1988,                 0.6621,                0.60639,                0.66137,                0.33525,                  1.712,                 1.2282,                 1.1936,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.8369,                 1.3426,                 1.1955,                 0.6926,                0.58538,                0.65498,                0.33784,                 1.7086,                 1.2322,                 1.1951,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.8199,                  1.336,                 1.1912,                0.73491,                0.57725,                0.68039,                0.34505,                 1.7148,                 1.1907,                 1.2122,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.8183,                 1.3508,                 1.2004,                0.69222,                0.65133,                0.68845,                0.34623,                 1.7074,                 1.1797,                  1.195,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.8333,                 1.3542,                 1.1994,                 0.6564,                0.64437,                0.67579,                0.35185,                 1.7132,                 1.1674,                 1.1955,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.8234,                 1.3415,                 1.1958,                0.67048,                0.62575,                0.67123,                0.33633,                 1.7239,                 1.1943,                 1.2136,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.7786,                 1.2993,                 1.1861,                0.66329,                0.67042,                0.69026,                0.36508,                  1.675,                   1.14,                 1.1884,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.7905,                 1.3177,                 1.1858,                0.71197,                0.61359,                0.68611,                0.36044,                 1.6733,                 1.1616,                 1.1846,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.7949,                 1.3137,                 1.1884,                0.69772,                0.65904,                0.70804,                0.37059,                 1.6854,                 1.1327,                 1.1894,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.8052,                  1.301,                 1.1831,                0.68362,                0.64581,                 0.7109,                0.36894,                 1.6788,                 1.1277,                  1.185,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.7866,                 1.3077,                 1.1842,                0.69843,                0.65483,                0.69566,                0.36414,                 1.6642,                 1.1316,                 1.1878,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.7824,                 1.3227,                 1.1939,                0.73423,                0.65437,                0.71734,                0.37853,                 1.6505,                 1.1166,                 1.1635,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.7594,                 1.2992,                 1.1854,                0.71218,                0.64956,                0.71282,                0.38008,                 1.6448,                 1.1186,                 1.1712,             0.00072631,             0.00072631,             0.00072631
                     60,                  1.765,                 1.2848,                 1.1824,                0.71705,                0.65306,                0.72286,                0.38541,                 1.6376,                 1.1015,                 1.1689,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.7595,                 1.2894,                 1.1722,                0.73404,                0.62543,                0.70677,                0.37422,                 1.6612,                 1.1303,                 1.1793,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.7568,                 1.2713,                 1.1759,                0.74894,                0.56635,                0.69726,                 0.3705,                 1.6493,                 1.1555,                 1.1684,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.7346,                 1.2822,                 1.1719,                0.73564,                0.61438,                0.71652,                0.38379,                 1.6641,                 1.1291,                  1.175,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.7454,                 1.2887,                 1.1727,                0.71523,                0.67293,                0.72361,                0.38919,                 1.6242,                 1.1185,                   1.16,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.7378,                  1.264,                 1.1712,                0.68968,                0.65393,                  0.714,                0.37857,                 1.6335,                 1.1139,                 1.1652,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.7495,                 1.2627,                 1.1711,                0.67618,                0.68125,                 0.7019,                0.37124,                 1.6471,                 1.1398,                 1.1747,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.7168,                 1.2481,                 1.1646,                0.69376,                0.65849,                 0.7084,                0.38163,                 1.6287,                 1.1226,                 1.1594,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.7096,                 1.2597,                 1.1642,                0.73352,                0.67809,                0.73918,                0.38877,                 1.6293,                  1.098,                 1.1603,             0.00057778,             0.00057778,             0.00057778
                     69,                  1.717,                 1.2429,                 1.1643,                0.71078,                0.64342,                0.73354,                0.39563,                 1.6001,                 1.1019,                 1.1491,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.6885,                 1.2277,                  1.162,                0.72666,                0.68748,                0.73668,                0.39154,                 1.6258,                 1.1002,                 1.1599,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.7053,                 1.2507,                 1.1712,                  0.729,                 0.6672,                0.72454,                0.39167,                 1.6189,                 1.0946,                 1.1601,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.7306,                 1.2688,                 1.1716,                0.70688,                 0.6592,                0.72377,                0.39014,                 1.6077,                 1.0904,                  1.152,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.7106,                 1.2455,                 1.1569,                0.69137,                0.67075,                0.73143,                0.39522,                 1.6152,                 1.0796,                 1.1538,             0.00049527,             0.00049527,             0.00049527
                     74,                  1.712,                 1.2431,                 1.1553,                0.74064,                0.64806,                 0.7338,                0.39689,                 1.6269,                 1.0785,                 1.1617,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.6775,                 1.2236,                 1.1544,                0.73458,                0.66842,                0.73291,                0.40473,                 1.5747,                  1.081,                 1.1423,             0.00046226,             0.00046226,             0.00046226
                     76,                  1.677,                 1.2011,                 1.1514,                0.69234,                0.66871,                0.71861,                0.39299,                 1.5914,                 1.0926,                 1.1492,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.6736,                 1.2133,                 1.1559,                0.73463,                0.69437,                 0.7414,                0.40772,                 1.5912,                 1.0512,                 1.1544,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.6953,                  1.213,                 1.1636,                0.70903,                0.66476,                0.72764,                0.40128,                 1.5788,                 1.0891,                 1.1465,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.6788,                  1.207,                 1.1491,                0.73011,                0.68648,                0.74398,                0.40624,                 1.5834,                 1.0658,                  1.144,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.6964,                 1.2063,                  1.152,                0.72943,                0.67081,                 0.7453,                0.41153,                 1.5638,                  1.046,                   1.14,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.6913,                 1.2137,                 1.1519,                0.68818,                 0.6902,                0.73798,                 0.4066,                 1.5976,                 1.0777,                 1.1451,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.6766,                 1.1991,                 1.1502,                0.74727,                0.68096,                0.74883,                0.41269,                 1.5908,                  1.061,                 1.1465,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.6615,                 1.1881,                 1.1449,                0.76349,                0.69432,                 0.7671,                0.41853,                 1.5676,                 1.0369,                 1.1438,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.6652,                 1.2079,                 1.1516,                0.75339,                0.68137,                0.76389,                0.42461,                  1.547,                 1.0471,                 1.1327,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.6599,                 1.1937,                   1.15,                0.73606,                0.67794,                0.74509,                0.41193,                 1.5561,                 1.0621,                 1.1377,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.6373,                 1.1829,                 1.1424,                 0.7767,                0.67606,                 0.7617,                 0.4251,                 1.5551,                 1.0184,                 1.1407,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.6631,                 1.1789,                 1.1451,                0.72961,                0.70365,                0.74686,                0.41979,                 1.5524,                 1.0234,                 1.1414,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.6644,                 1.2047,                 1.1537,                0.73655,                0.70242,                0.76546,                0.42582,                 1.5396,                 1.0333,                 1.1304,             0.00024772,             0.00024772,             0.00024772
                     89,                  1.636,                 1.1836,                 1.1463,                0.71458,                0.71472,                0.75791,                0.41776,                  1.552,                 1.0447,                 1.1314,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.6197,                 1.1916,                 1.1392,                0.72921,                0.73275,                0.75771,                0.42781,                 1.5348,                 1.0264,                 1.1275,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.5543,                 1.0733,                 1.1588,                0.71356,                0.69008,                0.74853,                0.41452,                 1.5586,                 1.0729,                 1.1294,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.5244,                  1.028,                  1.146,                0.79032,                0.67382,                0.76389,                0.42286,                 1.5469,                 1.0462,                 1.1241,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.4967,                 1.0147,                 1.1281,                0.75803,                0.68879,                0.76964,                0.42732,                 1.5375,                 1.0384,                 1.1208,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.4857,                 1.0107,                 1.1324,                0.74811,                0.70754,                0.77814,                0.43327,                 1.5325,                 1.0218,                 1.1207,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.5045,                 0.9933,                 1.1366,                 0.7646,                0.70268,                0.78082,                0.43078,                 1.5342,                 1.0134,                 1.1215,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.4826,                 0.9917,                 1.1341,                 0.7707,                0.69522,                0.77884,                0.43528,                 1.5229,                 1.0155,                 1.1151,             0.00011569,             0.00011569,             0.00011569
