                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2191,                 0.7015,                 1.0352,                0.77837,                0.74046,                0.79791,                0.46839,                 1.4198,                  0.919,                 1.0847,             0.00055222,             0.00055222,             0.00055222
                      2,                 1.2689,                0.74763,                 1.0363,                0.80537,                0.69111,                0.79093,                0.45366,                 1.4679,                0.92824,                 1.1124,              0.0010859,              0.0010859,              0.0010859
                      3,                 1.2954,                0.77611,                 1.0498,                0.75977,                0.69993,                0.77185,                0.44533,                 1.4731,                0.96868,                 1.1059,              0.0015977,              0.0015977,              0.0015977
                      4,                 1.3048,                0.78062,                 1.0635,                0.83115,                0.66377,                0.77246,                0.44571,                 1.4922,                0.94169,                 1.1192,               0.001568,               0.001568,               0.001568
                      5,                 1.3258,                0.78999,                  1.067,                0.78742,                0.69422,                0.77453,                0.43851,                 1.5023,                0.96041,                 1.1144,               0.001568,               0.001568,               0.001568
                      6,                 1.3295,                0.79945,                 1.0639,                0.76443,                0.71731,                0.77588,                0.44089,                 1.5236,                0.93043,                 1.1234,               0.001535,               0.001535,               0.001535
                      7,                 1.3032,                0.76728,                 1.0647,                 0.7811,                0.67643,                0.75982,                0.43557,                 1.4825,                0.96542,                  1.117,               0.001502,               0.001502,               0.001502
                      8,                 1.3482,                0.79994,                 1.0686,                0.75806,                0.62073,                0.71194,                0.39639,                 1.5727,                 1.0596,                 1.1403,               0.001469,               0.001469,               0.001469
                      9,                 1.3153,                0.79381,                 1.0612,                0.76206,                0.70657,                0.77198,                0.42582,                 1.5336,                0.97736,                 1.1197,               0.001436,               0.001436,               0.001436
                     10,                 1.3007,                0.77435,                 1.0523,                0.71124,                0.70024,                0.76552,                0.43213,                 1.4929,                 0.9939,                 1.1034,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.3222,                0.79516,                  1.053,                0.83146,                 0.6834,                0.78354,                 0.4466,                 1.4638,                0.93571,                 1.1047,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2839,                0.77577,                 1.0605,                0.79532,                0.68421,                0.76985,                0.45684,                 1.4734,                0.95697,                 1.1238,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.2921,                0.76336,                 1.0495,                0.80683,                0.67354,                0.75867,                0.43164,                  1.499,                0.99717,                 1.1284,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.2999,                0.77898,                  1.053,                 0.8103,                0.68715,                0.77612,                0.45295,                 1.4412,                0.95261,                 1.0931,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.2807,                0.76027,                 1.0518,                0.77701,                0.69815,                 0.7708,                0.42937,                 1.5363,                0.97906,                 1.1148,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.2731,                0.76798,                 1.0427,                0.82294,                0.68411,                0.77698,                0.44456,                 1.4791,                 0.9254,                 1.1017,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.2926,                0.76135,                 1.0485,                0.79002,                0.69594,                0.78061,                0.45226,                 1.4836,                0.90604,                 1.1092,              0.0011719,              0.0011719,              0.0011719
                     18,                  1.281,                0.75799,                 1.0499,                0.78508,                0.69419,                0.78241,                0.46102,                 1.4478,                0.89755,                 1.0964,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.2904,                0.75987,                 1.0518,                0.80493,                0.68915,                0.78386,                0.45455,                 1.4555,                0.90248,                 1.0993,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.2736,                0.74954,                 1.0453,                0.78173,                0.71247,                0.78609,                0.45744,                  1.488,                0.92391,                 1.1085,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.2791,                0.74734,                 1.0448,                0.81684,                0.69551,                0.78384,                0.46477,                 1.4251,                0.88933,                 1.0969,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2678,                0.75066,                 1.0492,                0.78465,                0.67986,                 0.7716,                0.45617,                 1.4534,                0.94473,                 1.1043,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.2537,                0.73863,                 1.0419,                0.81833,                0.70884,                0.79633,                0.47425,                 1.4373,                0.89719,                 1.1011,             0.00097386,             0.00097386,             0.00097386
                     24,                  1.229,                0.71589,                 1.0276,                0.79339,                0.72078,                0.78965,                0.45955,                 1.4607,                0.89489,                 1.1026,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2412,                0.73958,                 1.0356,                0.79713,                0.72945,                 0.7991,                0.46416,                 1.4525,                0.89833,                  1.097,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2394,                0.70545,                 1.0421,                0.79713,                0.68921,                0.77042,                0.45888,                 1.4194,                0.92382,                 1.0831,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2541,                0.73915,                   1.04,                0.76637,                0.75241,                0.80239,                0.47407,                 1.4306,                 0.8983,                 1.0865,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.2148,                0.71628,                 1.0251,                0.81755,                0.71052,                0.79436,                0.47154,                 1.4229,                0.90247,                  1.083,             0.00080883,             0.00080883,             0.00080883
