                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6837,                 1.1451,                 1.2023,                0.67317,                0.58116,                 0.6319,                0.30855,                 1.7395,                 1.2779,                 1.2119,             0.00094085,             0.00094085,             0.00094085
                     36,                 1.6894,                 1.1364,                 1.2017,                0.67557,                 0.6178,                0.66829,                0.33493,                 1.7243,                 1.1646,                  1.199,             0.00091885,             0.00091885,             0.00091885
                     37,                 1.6808,                 1.1081,                 1.1997,                 0.6748,                0.55599,                0.63051,                0.32092,                  1.722,                 1.1898,                 1.1936,             0.00089685,             0.00089685,             0.00089685
                     38,                 1.6292,                 1.0886,                  1.185,                0.62902,                0.59556,                0.63754,                0.32787,                 1.7187,                 1.2136,                 1.2029,             0.00087484,             0.00087484,             0.00087484
                     39,                   1.65,                 1.0986,                 1.1837,                0.70334,                0.60466,                0.66434,                0.34115,                 1.6837,                 1.1849,                 1.1882,             0.00085284,             0.00085284,             0.00085284
                     40,                 1.6473,                 1.0955,                 1.1831,                0.63478,                0.59308,                0.62067,                0.30921,                 1.7562,                 1.2447,                 1.2003,             0.00083083,             0.00083083,             0.00083083
                     41,                 1.6232,                 1.0755,                 1.1712,                0.68352,                0.59311,                0.65139,                0.32847,                 1.7223,                 1.1774,                 1.2029,             0.00080883,             0.00080883,             0.00080883
                     42,                 1.6239,                 1.0721,                 1.1837,                0.65434,                0.62487,                0.65716,                 0.3312,                 1.6999,                 1.1677,                 1.1853,             0.00078682,             0.00078682,             0.00078682
                     43,                 1.6058,                 1.0653,                 1.1714,                0.70962,                0.59523,                0.65856,                0.33972,                 1.6509,                 1.1628,                 1.1764,             0.00076482,             0.00076482,             0.00076482
                     44,                 1.5884,                 1.0442,                 1.1674,                0.69421,                0.62457,                0.66882,                0.34797,                 1.6755,                 1.1448,                 1.1882,             0.00074282,             0.00074282,             0.00074282
                     45,                 1.5936,                 1.0399,                 1.1718,                0.67872,                0.62053,                0.68491,                0.35187,                  1.687,                 1.1629,                 1.1844,             0.00072081,             0.00072081,             0.00072081
                     46,                 1.5783,                 1.0323,                 1.1628,                0.70923,                0.60114,                0.67995,                0.34856,                  1.696,                 1.1302,                 1.1921,             0.00069881,             0.00069881,             0.00069881
                     47,                  1.596,                 1.0329,                 1.1681,                0.69067,                0.57748,                0.64872,                0.33243,                 1.6651,                 1.1691,                 1.1701,              0.0006768,              0.0006768,              0.0006768
                     48,                 1.5666,                 1.0183,                 1.1625,                0.70366,                0.64292,                0.69118,                0.35024,                 1.7003,                 1.1174,                 1.1901,              0.0006548,              0.0006548,              0.0006548
                     49,                 1.5799,                 1.0094,                  1.164,                0.71538,                 0.6329,                0.69909,                 0.3701,                 1.6603,                 1.0673,                   1.18,             0.00063279,             0.00063279,             0.00063279
                     50,                 1.5386,                 1.0114,                 1.1509,                0.65773,                0.60929,                0.65491,                0.33957,                 1.6752,                 1.1764,                 1.1716,             0.00061079,             0.00061079,             0.00061079
                     51,                 1.5422,                0.98944,                 1.1439,                0.72465,                0.61294,                0.69686,                0.36186,                 1.6505,                 1.0915,                 1.1681,             0.00058878,             0.00058878,             0.00058878
                     52,                 1.5245,                0.97866,                 1.1371,                0.67038,                0.66055,                0.68941,                0.36646,                 1.6154,                 1.0989,                 1.1578,             0.00056678,             0.00056678,             0.00056678
                     53,                 1.5372,                0.97879,                 1.1463,                0.71751,                0.62128,                0.69067,                0.36569,                 1.6472,                 1.0758,                 1.1701,             0.00054478,             0.00054478,             0.00054478
                     54,                 1.5143,                 0.9688,                 1.1357,                0.69662,                0.65123,                0.69856,                0.35689,                 1.6587,                 1.0996,                 1.1596,             0.00052277,             0.00052277,             0.00052277
                     55,                 1.5078,                0.95767,                 1.1359,                0.69255,                0.66354,                0.69877,                0.36883,                 1.6401,                 1.0841,                 1.1665,             0.00050077,             0.00050077,             0.00050077
                     56,                 1.5043,                0.97514,                 1.1326,                0.71574,                0.65036,                0.71228,                0.37399,                 1.6004,                 1.0768,                 1.1501,             0.00047876,             0.00047876,             0.00047876
                     57,                 1.5046,                0.95488,                 1.1364,                0.70491,                0.64725,                0.71139,                0.37804,                 1.6228,                 1.0799,                 1.1508,             0.00045676,             0.00045676,             0.00045676
                     58,                 1.5124,                0.94604,                 1.1354,                0.69167,                0.67268,                0.70668,                 0.3788,                 1.5889,                 1.0802,                 1.1472,             0.00043475,             0.00043475,             0.00043475
                     59,                 1.4963,                0.95217,                 1.1319,                0.72985,                0.65219,                0.72379,                0.39274,                 1.5784,                 1.0567,                 1.1475,             0.00041275,             0.00041275,             0.00041275
