                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3481,                 3.8104,                 3.9594,                0.00629,                0.34983,                0.00861,                0.00223,                 2.8217,                 3.8903,                 3.8172,             0.00055222,             0.00055222,             0.00055222
                      2,                 2.8216,                 3.1717,                 3.0942,                 0.0573,                0.31573,                0.05257,                0.01763,                 2.4034,                 8.2559,                 2.9751,              0.0010859,              0.0010859,              0.0010859
                      3,                 2.3291,                 2.7201,                 2.5905,                0.23511,                0.31926,                0.17748,                0.06495,                 2.0973,                 3.2027,                 2.5906,              0.0015977,              0.0015977,              0.0015977
                      4,                 2.0555,                 2.4419,                 2.3486,                0.31734,                0.38791,                0.28507,                0.11366,                 1.9548,                 2.2721,                 2.4108,               0.001568,               0.001568,               0.001568
                      5,                  1.935,                 2.2757,                 2.2304,                0.37415,                0.48484,                0.36404,                0.16913,                 1.7355,                  2.177,                  2.207,               0.001568,               0.001568,               0.001568
                      6,                 1.8367,                 2.1231,                 2.1549,                0.43495,                0.53644,                0.42671,                0.21325,                 1.6366,                 1.9498,                 2.1171,               0.001535,               0.001535,               0.001535
                      7,                 1.7636,                 2.0042,                 2.0809,                 0.4453,                0.53837,                0.45188,                0.22697,                 1.6446,                 1.9111,                 2.1268,               0.001502,               0.001502,               0.001502
                      8,                 1.7168,                 1.9549,                 2.0375,                0.50609,                0.53572,                0.50898,                0.28601,                 1.5794,                 1.7568,                 2.0606,               0.001469,               0.001469,               0.001469
