                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0961,                 0.6035,                0.99109,                0.81877,                0.71709,                0.80054,                0.46997,                 1.4303,                0.87598,                 1.1008,             0.00055222,             0.00055222,             0.00055222
                      2,                 1.1212,                0.62686,                0.98536,                0.82763,                 0.6699,                0.77999,                0.45022,                 1.4805,                0.93086,                 1.1156,              0.0010859,              0.0010859,              0.0010859
                      3,                 1.1319,                0.63295,                0.99403,                0.78571,                0.69813,                0.76921,                0.45102,                 1.4861,                 0.9452,                 1.1248,              0.0015977,              0.0015977,              0.0015977
                      4,                 1.1463,                0.64687,                 1.0043,                 0.8027,                0.69638,                0.76344,                0.44136,                 1.4981,                0.93632,                 1.1295,               0.001568,               0.001568,               0.001568
                      5,                 1.1744,                0.66222,                   1.01,                0.81222,                0.70166,                0.78105,                 0.4565,                 1.4906,                 0.9101,                 1.1263,               0.001568,               0.001568,               0.001568
                      6,                  1.174,                0.65745,                 1.0096,                0.76851,                0.70856,                0.76827,                0.44513,                 1.4775,                0.90498,                 1.1195,               0.001535,               0.001535,               0.001535
                      7,                 1.1554,                0.65199,                 1.0096,                 0.8246,                0.69314,                0.78261,                0.45121,                 1.5074,                0.91032,                 1.1339,               0.001502,               0.001502,               0.001502
                      8,                 1.1911,                0.66837,                 1.0102,                0.73385,                0.62324,                0.69079,                 0.3741,                 1.6138,                 1.0822,                 1.1763,               0.001469,               0.001469,               0.001469
                      9,                 1.1704,                0.66393,                 1.0134,                0.79854,                0.70144,                0.78193,                0.44694,                 1.4897,                0.89981,                 1.1171,               0.001436,               0.001436,               0.001436
                     10,                  1.158,                0.66861,                0.99972,                0.77613,                0.69925,                0.77265,                0.45045,                 1.4695,                 0.8926,                 1.1192,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.1839,                0.67352,                 1.0021,                0.74497,                0.71669,                0.77534,                0.45696,                 1.4668,                 0.9043,                 1.1181,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.1504,                0.65382,                 1.0114,                0.81958,                0.70666,                0.78474,                0.45923,                 1.4632,                0.94397,                 1.1199,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.1682,                 0.6516,                 1.0058,                0.79746,                0.68124,                0.76129,                0.44493,                 1.4718,                0.96225,                 1.1213,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.1642,                0.66857,                 1.0072,                 0.7884,                0.68896,                0.76781,                0.45146,                  1.438,                0.92105,                 1.1031,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.1487,                0.64912,                 1.0085,                0.81363,                0.71051,                0.78428,                0.45535,                 1.4611,                0.90953,                  1.104,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.1445,                0.66063,                0.99759,                 0.7863,                0.72113,                0.79189,                 0.4591,                 1.4622,                0.91511,                 1.1042,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.1667,                0.66257,                 1.0058,                0.79542,                0.70441,                0.78285,                0.46405,                 1.4477,                0.89734,                 1.1021,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.1583,                0.64899,                 1.0097,                0.81054,                0.68086,                0.78057,                0.46288,                 1.4476,                0.89023,                 1.1066,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.1559,                0.65168,                 1.0051,                 0.7808,                0.72253,                0.78757,                0.46853,                 1.4633,                0.88201,                 1.1108,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1481,                0.64177,                 1.0031,                0.80107,                0.69844,                0.78381,                0.45428,                 1.5051,                0.90227,                 1.1241,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.1577,                0.63906,                 1.0042,                 0.8067,                0.71689,                0.78819,                 0.4782,                 1.4191,                0.87816,                 1.0972,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.1572,                0.65515,                 1.0104,                  0.792,                0.69311,                0.76583,                0.45364,                 1.4555,                0.92487,                 1.1089,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.1329,                  0.638,                0.99841,                0.84231,                0.72235,                0.80049,                0.48178,                 1.4299,                0.85656,                 1.1091,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.1267,                0.61286,                0.99188,                0.81944,                0.72592,                0.79248,                0.46483,                 1.4733,                0.86488,                 1.1188,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.1264,                0.63524,                0.99372,                0.82213,                0.70848,                0.78937,                0.46706,                 1.4578,                0.88327,                 1.1174,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.1217,                0.61205,                 1.0012,                0.82084,                0.66642,                0.77017,                0.46604,                 1.4254,                 0.9108,                 1.0972,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.1507,                 0.6381,                 1.0004,                0.78666,                0.73502,                0.80424,                0.48613,                 1.4237,                0.85791,                 1.0978,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.1064,                0.61638,                0.98863,                0.81716,                 0.7261,                0.79695,                0.47259,                 1.4265,                0.88304,                  1.094,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1175,                0.61621,                0.99287,                0.83102,                0.69564,                0.80316,                 0.4832,                 1.4221,                0.86532,                 1.0891,             0.00077582,             0.00077582,             0.00077582
