                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6487,                 4.5027,                 4.0663,                0.00169,                0.45259,                0.00271,                0.00078,                 2.7676,                 4.2378,                 4.7384,             0.00054881,             0.00054881,             0.00054881
                      2,                 2.4227,                 3.7534,                 3.3042,                0.07564,                0.09918,                0.06245,                0.01806,                 2.5966,                 9.1719,                  3.665,              0.0010826,              0.0010826,              0.0010826
                      3,                 2.2821,                 3.0337,                 3.0372,                0.64413,                0.12577,                0.16476,                0.04861,                 2.4107,                 5.8269,                 3.3486,              0.0015944,              0.0015944,              0.0015944
